PARAMS	32									
EPOCHS	20									
Stimulus.epochName	interleave	Sine Right 0.1c	Sine Left 0.1c	CIS 0.2c	Sine Right 0.25c	Sine Left 0.25c	CIS 0.5c	Sine Right 0.5c	Sine Left 0.5c	CIS 1c
Stimulus.stimtype	10019	10019	10019	22	10019	10019	22	10019	10019	22
Stimulus.totalTime	48600	48600	48600	48600	48600	48600	48600	48600	48600	48600
Stimulus.repeats	1	1	1	1	1	1	1	1	1	1
Stimulus.ordertype	4	4	4	4	4	4	4	4	4	4
Stimulus.duration	300	240	240	240	240	240	240	240	240	240
Stimulus.lumL	0.5	0	0	0.5	0	0	0.5	0	0	0.5
Stimulus.lumR	0.5	0	0	0.5	0	0	0.5	0	0	0.5
Stimulus.velocityL	0	0	0	0	0	0	0	0	0	0
Stimulus.velocityR	0	0	0	0	0	0	0	0	0	0
Stimulus.contrastL	0	0	0	0.2	0	0	0.5	0	0	1
Stimulus.contrastR	0	0	0	0.2	0	0	0.5	0	0	1
Stimulus.contFreqL	0	0	0	1	0	0	1	0	0	1
Stimulus.contFreqR	0	0	0	1	0	0	1	0	0	1
Stimulus.lambdaL	0	0	0	45	0	0	45	0	0	45
Stimulus.lambdaXL	0	0	0	45	0	0	45	0	0	45
Stimulus.lambdaXR	0	0	0	45	0	0	45	0	0	45
Stimulus.lambdaR	0	0	0	45	0	0	45	0	0	45
Stimulus.lambdaYL	0	0	0	-1	0	0	-1	0	0	-1
Stimulus.lambdaYR	0	0	0	-1	0	0	-1	0	0	-1
Stimulus.twoEyes	0	0	0	0	0	0	0	0	0	0
Stimulus.eyeDist	0	0	0	0	0	0	0	0	0	0
Stimulus.stripType	0	0	0	0	0	0	0	0	0	0
Stimulus.numDeg	1	1	1	1	1	1	1	1	1	1
Stimulus.framesPerUp	3	3	3	3	3	3	3	3	3	3
Stimulus.lum	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0
Stimulus.contrast	0	0.1	0.1	0	0.25	0.25	0	0.5	0.5	0
Stimulus.temporalFrequency	1	1	-1	0	1	-1	0	1	-1	0
Stimulus.lambda	45	45	45	0	45	45	0	45	45	0
Stimulus.velSTDL	0	0	0	0	0	0	0	0	0	0
Stimulus.velSTDR	0	0	0	0	0	0	0	0	0	0
Stimulus.wnUpRateL	0	0	0	0	0	0	0	0	0	0
Stimulus.wnUpRateR	0	0	0	0	0	0	0	0	0	0
Stimulus.velUpRateL	1	1	1	1	1	1	1	1	1	1
Stimulus.velUpRateR	1	1	1	1	1	1	1	1	1	1
Stimulus.stimUpRateL	1	1	1	1	1	1	1	1	1	1
Stimulus.stimUpRateR	1	1	1	1	1	1	1	1	1	1
Stimulus.wnCL	0	0	0	0	0	0	0	0	0	0
Stimulus.wnCR	0	0	0	0	0	0	0	0	0	0
