PARAMS	12												
EPOCHS	37												
Stimulus.epochName	Gray Interleave	Sine Right c=0.025	Sine Left c=0.025	Sine Right c=0.05	Sine Left c=0.05	Sine Right c=0.1	Sine Left c=0.1	Sine Right c=0.2	Sine Left c=0.2	Sine Right c=0.4	Sine Left c=0.4	Sine Right c=0.8	Sine Left c=0.8
Stimulus.stimtype	10019	10019	10019	10019	10019	10019	10019	10019	10019	10019	10019	10019	10019
Stimulus.ordertype	4	4	4	4	4	4	4	4	4	4	4	4	4
Stimulus.totalTime	38890	38890	38890	38890	38890	38890	38890	38890	38890	38890	38890	38890	38890
Stimulus.repeats	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.duration	300	240	240	240	240	240	240	240	240	240	240	240	240
Stimulus.lum	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.contrast	0	0.025	0.025	0.05	0.05	0.1	0.1	0.2	0.2	0.4	0.4	0.8	0.8
Stimulus.twoEyes	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.eyeDist	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stripType	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.temporalFrequency	0	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1
Stimulus.lambda	30	45	45	45	45	45	45	45	45	45	45	45	45
Stimulus.numDeg	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.framesPerUp	3	3	3	3	3	3	3	3	3	3	3	3	3
