PARAMS	29							
EPOCHS	2							
Stimulus.epochName	Right Light Edge	Right Dark Edge	Left Light Edge	Left Dark Edge	Up Light Edge	Up Dark Edge	Down Light Edge	Down Dark Edge
Stimulus.stimtype	40016	40016	40016	40016	40016	40016	40016	40016
Stimulus.ordertype	1	1	1	1	1	1	1	1
Stimulus.nextEpoch	2	3	4	5	6	7	8	1
Stimulus.repeats	4	4	4	4	4	4	4	4
Stimulus.duration	720	720	720	720	306	306	306	306
Stimulus.lum	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.contrast	1	1	1	1	1	1	1	1
Stimulus.direction	0	0	0	0	90	90	90	90
Stimulus.velocity	30	30	-30	-30	30	30	-30	-30
Stimulus.lambda	360	360	360	360	180	180	180	180
Stimulus.eyeDist	0	0	0	0	0	0	0	0
Stimulus.numDeg	1	1	1	1	1	1	1	1
Stimulus.pol	1	-1	1	-1	1	-1	1	-1
Stimulus.startDelay	0	0	0	0	0	0	0	0
Stimulus.stimUpRate	1	1	1	1	1	1	1	1
Stimulus.velUpRate	1	1	1	1	1	1	1	1
Stimulus.framesPerUp	3	3	3	3	3	3	3	3
Stimulus.totalTime	20520							
