PARAMS	13																		
EPOCHS	11																		
Stimulus.stimtype	10019	10019	10019	10024	10019	10024	10019	10024	10019	10024	10019	10024	10019	10024	10019	10024	10019	10024	10019
Stimulus.ordertype	5	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
Stimulus.duration	300	15	15	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Stimulus.lum	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.contrast	0	1	1	1	1	1	1	0.25	0.25	0.25	0.25	0.25	1	0.25	1	1	0.25	1	0.25
Stimulus.twoEyes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.eyeDist	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stripType	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.temporalFrequency	4	16	-16	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	1	1	-1
Stimulus.lambda	60	30	30	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Stimulus.numDeg	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.framesPerUp	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
Stimulus.entryPoint	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
