PARAMS	14										
EPOCHS	37										
Stimulus.epochName	Interleve	Control Right	Control Left	"Collapsing Left, Right Blank"	"Collapsing Right, Left Blank"	"Expanding Left, Right Blank"	"Expanding Right, Left Blank"	"Collapsing Left, Right Still"	"Collapsing Right, Left Still"	"Expanding Left, Right Still"	"Expanding Right, Left Still"
Stimulus.stimtype	10019	10019	10019	10023	10023	10023	10023	10023	10023	10023	10023
Stimulus.ordertype	0	0	0	0	0	0	0	0	0	0	0
Stimulus.duration	300	15	15	300	300	300	300	300	300	300	300
Stimulus.lumL	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.lumR	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.contrastL	0	1	1	1	0	1	0	1	1	1	1
Stimulus.contrastR	0	1	1	0	1	0	1	1	1	1	1
Stimulus.temporalFrequencyL	0	16	-16	1	0	-1	0	1	0	-1	0
Stimulus.temporalFrequencyR	0	16	-16	0	1	0	-1	0	1	0	-1
Stimulus.lambdaL	30	30	30	60	60	60	60	60	60	60	60
Stimulus.lambdaR	30	30	30	60	60	60	60	60	60	60	60
Stimulus.numDeg	1	1	1	1	1	1	1	1	1	1	1
Stimulus.framesPerUp	3	3	3	3	3	3	3	3	3	3	3
Stimulus.twoEyes	0	0	0	0	0	0	0	0	0	0	0
Stimulus.lum	0.5	0.5	0.5	0	0	0	0	0	0	0	0
Stimulus.contrast	0	1	1	0	0	0	0	0	0	0	0
Stimulus.temporalFrequency	0	16	-16	0	0	0	0	0	0	0	0
Stimulus.lambda	30	30	30	0	0	0	0	0	0	0	0
