PARAMS	15																																																																																																																																																
EPOCHS	81																																																																																																																																																
Stimulus.epochName	Gray	R++ P0	R-+ P0	R+- P0	R-- P0	L++ P0	L-+ P0	L+- P0	L-- P0	R++ P1	R-+ P1	R+- P1	R-- P1	L++ P1	L-+ P1	L+- P1	L-- P1	R++ P2	R-+ P2	R+- P2	R-- P2	L++ P2	L-+ P2	L+- P2	L-- P2	R++ P3	R-+ P3	R+- P3	R-- P3	L++ P3	L-+ P3	L+- P3	L-- P3	R++ P4	R-+ P4	R+- P4	R-- P4	L++ P4	L-+ P4	L+- P4	L-- P4	R++ P5	R-+ P5	R+- P5	R-- P5	L++ P5	L-+ P5	L+- P5	L-- P5	R++ P6	R-+ P6	R+- P6	R-- P6	L++ P6	L-+ P6	L+- P6	L-- P6	R++ P7	R-+ P7	R+- P7	R-- P7	L++ P7	L-+ P7	L+- P7	L-- P7	Sn++ P0	Sn-+ P0	Sn+- P0	Sn-- P0	Sn++ P1	Sn-+ P1	Sn+- P1	Sn-- P1	Sn++ P2	Sn-+ P2	Sn+- P2	Sn-- P2	Sn++ P3	Sn-+ P3	Sn+- P3	Sn-- P3	Sn++ P4	Sn-+ P4	Sn+- P4	Sn-- P4	Sn++ P5	Sn-+ P5	Sn+- P5	Sn-- P5	Sn++ P6	Sn-+ P6	Sn+- P6	Sn-- P6	Sn++ P7	Sn-+ P7	Sn+- P7	Sn-- P7	S+ P0	S- P0	S+ P1	S- P1	S+ P2	S- P2	S+ P3	S- P3	S+ P4	S- P4	S+ P5	S- P5	S+ P6	S- P6	S+ P7	S- P7	Sh+ P0	Sh- P0	Sh+ P1	Sh- P1	Sh+ P2	Sh- P2	Sh+ P3	Sh- P3	Sh+ P4	Sh- P4	Sh+ P5	Sh- P5	Sh+ P6	Sh- P6	Sh+ P7	Sh- P7	Ss+ P0	Ss- P0	Ss+ P1	Ss- P1	Ss+ P2	Ss- P2	Ss+ P3	Ss- P3	Ss+ P4	Ss- P4	Ss+ P5	Ss- P5	Ss+ P6	Ss- P6	Ss+ P7	Ss- P7
Stimulus.stimtype	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009	40009
Stimulus.ordertype	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Stimulus.repeats	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Stimulus.duration	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Stimulus.framesPerUp	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
Stimulus.mLum	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.barWd	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Stimulus.spaceWd	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Stimulus.firstBarDelay	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.secondBarDelay	1	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
