PARAMS	42										
EPOCHS	21										
Stimulus.epochName	interleave	sine right	sine left	pro right eye phi	pro left eye phi	reg left eye phi	reg right eye phi	pro right eye rphi	pro left eye rphi	reg left eye rphi	reg right eye rphi
Stimulus.stimtype	10006	2	2	10006	10006	10006	10006	10006	10006	10006	10006
Stimulus.ordertype	0	0	0	0	0	0	0	0	0	0	0
Stimulus.duration	300	15	15	120	120	120	120	120	120	120	120
Stimulus.twoEyes	0	0	0	1	1	1	1	1	1	1	1
Stimulus.lumL	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.lumR	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.densityL	1	0	0	1	1	1	1	1	1	1	1
Stimulus.densityR	1	0	0	1	1	1	1	1	1	1	1
Stimulus.updateL	1	0	0	4	4	4	4	4	4	4	4
Stimulus.updateR	1	0	0	4	4	4	4	4	4	4	4
Stimulus.delayL	0	0	0	0	1	1	0	1	0	0	1
Stimulus.delayR	0	0	0	1	0	0	1	0	1	1	0
Stimulus.cL	0	0	0	1	1	1	1	1	1	1	1
Stimulus.cR	0	0	0	1	1	1	1	1	1	1	1
Stimulus.phiL	1	0	0	1	1	1	1	-1	-1	-1	-1
Stimulus.phiR	1	0	0	1	1	1	1	-1	-1	-1	-1
Stimulus.dirXL	0	0	0	0	-3	3	0	-3	0	0	3
Stimulus.dirXR	0	0	0	3	0	0	-3	0	3	-3	0
Stimulus.dirYL	0	0	0	0	0	0	0	0	0	0	0
Stimulus.dirYR	0	0	0	0	0	0	0	0	0	0	0
Stimulus.numDegX	5	0	0	5	5	5	5	5	5	5	5
Stimulus.numDegY	0	0	0	0	0	0	0	0	0	0	0
Stimulus.eyeDist	0	0	0	0	0	0	0	0	0	0	0
Stimulus.timeRand	1	0	0	1	1	1	1	1	1	1	1
Stimulus.stripType	0	0	0	0	0	0	0	0	0	0	0
Stimulus.framesPerUp	3	3	3	3	3	3	3	3	3	3	3
Stimulus.contrastL	0	1	1	0	0	0	0	0	0	0	0
Stimulus.contrastR	0	1	1	0	0	0	0	0	0	0	0
Stimulus.velocityL	0	480	-480	0	0	0	0	0	0	0	0
Stimulus.velocityR	0	480	-480	0	0	0	0	0	0	0	0
Stimulus.lambdaL	0	30	30	0	0	0	0	0	0	0	0
Stimulus.lambdaR	0	30	30	0	0	0	0	0	0	0	0
Stimulus.eyeDist	0	20	20	0	0	0	0	0	0	0	0
Stimulus.wnCL	0	0	0	0	0	0	0	0	0	0	0
Stimulus.wnCR	0	0	0	0	0	0	0	0	0	0	0
Stimulus.numDeg	0	5	5	0	0	0	0	0	0	0	0
Stimulus.velSTDL	0	0	0	0	0	0	0	0	0	0	0
Stimulus.velSTDR	0	0	0	0	0	0	0	0	0	0	0
Stimulus.wnUpRateL	0	0	0	0	0	0	0	0	0	0	0
Stimulus.wnUpRateR	0	0	0	0	0	0	0	0	0	0	0
Stimulus.velUpRateL	0	1	1	0	0	0	0	0	0	0	0
Stimulus.velUpRateR	0	1	1	0	0	0	0	0	0	0	0
Stimulus.stimUpRateL	0	1	1	0	0	0	0	0	0	0	0
Stimulus.stimUpRateR	0	1	1	0	0	0	0	0	0	0	0
