PARAMS	22												
EPOCHS	29												
Stimulus.epochName	Gray Interleave	Uncorrelated Bars dPixX=5	Uncorrelated Bars dPixX=10	Uncorrelated Bars dPixX=15	R+ dPixX=5	L+ dPixX=5	R+ dPixX=10	L+ dPixX=10	R+ dPixX=15	L+ dPixX=15	S+ dt=0 dPixX=5	S+ dt=0 dPixX=10	S+ dt=0 dPixX=15
Stimulus.stimtype	40013	40015	40015	40015	40015	40015	40015	40015	40015	40015	40015	40015	40015
Stimulus.ordertype	4	4	4	4	4	4	4	4	4	4	4	4	4
Stimulus.repeats	4	4	4	4	4	4	4	4	4	4	4	4	4
Stimulus.duration	240	240	240	240	240	240	240	240	240	240	240	240	240
Stimulus.twoEyes	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.lum	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.updateRate	10	10	10	10	10	10	10	10	10	10	10	10	10
Stimulus.delay	1	1	1	1	1	1	1	1	1	1	0	0	0
Stimulus.contrast	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.phi	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.dirX	1	1	1	1	1	-1	1	-1	1	-1	1	1	1
Stimulus.dirY	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.numDegX	10	5	10	15	5	5	10	10	15	15	5	10	15
Stimulus.numDegY	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.eyeDist	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stripType	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.density	0	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.corrType	2	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.flicker	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.motion	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
Stimulus.framesPerUp	3	3	3	3	3	3	3	3	3	3	3	3	3
Stimulus.totalTime	23040												
