PARAMS	13							
EPOCHS	8							
Stimulus.epochName	Gray Interleave	10Hz L+	Gray Interleave	10Hz R+	Gray Interleave	10Hz L-	Gray Interleave	10Hz R-
Stimulus.stimtype	50006	50006	50006	50006	50006	50006	50006	50006
Stimulus.duration	300	300	300	300	300	300	300	300
Stimulus.framesPerUp	3	3	3	3	3	3	3	3
Stimulus.whichGlid	3	3	3	3	3	3	3	3
Stimulus.updateRate	10	10	10	10	10	10	10	10
Stimulus.pixX	5	5	5	5	5	5	5	5
Stimulus.diagDirec	0	1	0	-1	0	1	0	-1
Stimulus.pol	1	1	1	1	-1	-1	-1	-1
Stimulus.mLum	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.binarize	1	1	1	1	1	1	1	1
Stimulus.contrast	0	1	0	1	0	1	0	1
Stimulus.ordertype	1	1	1	1	1	1	1	1
