PARAMS	12																
EPOCHS	17																
Stimulus.stimtype	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001	30001
Stimulus.ordertype	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.duration	60	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Stimulus.meanLuminance	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.contrast	0	1	1	1	1	0.5	0.5	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
Stimulus.numDeg	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.wavelengthDegrees	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Stimulus.velocityDegrees	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480
Stimulus.height	45	45	20	10	5	45	20	10	5	45	20	10	5	45	20	10	5
Stimulus.yOffset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.framesPerUp	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Stimulus.projectorFrequency	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180
